"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MOUNT";"MPN";"NOTE";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"VALUE";"VMIN";
"2";"OPTIONAL";"R-US_0204/2V";"0204V";"R45, R46";"RESISTOR, American symbol";"";"NO";"";"";"";"";"";"";"";
"2";"PLUG-2";"M02PLUG";"PLUG_02";"LED10W1, LED10W2";"";"";"NO";"";"";"";"";"";"";"";
"2";"PLUG-3";"M03";"PLUG_03";"FLEX, RELAY";"";"";"NO";"";"";"";"";"";"";"";
"1";"PLUG-6";"M06";"PLUG_06";"GYRO-LED";"";"";"NO";"";"";"";"";"";"";"";
"1";"PLUG-8";"M08";"PLUG_08";"INPUT";"";"";"NO";"";"";"";"";"";"";"";
"1";"RADIATEUR";"RADIATEUR";"RADIATEUR_577102B00000G";"U$1";"";"";"NO";"";"";"1703172";"";"";"";"";
"1";"RASPIA+";"RASPIA+";"RASPIA+";"U$4";"";"";"NO";"";"";"";"";"";"";"";
"1";"RJ45-EXTDNC";"RJ45-EXTDNC";"RJ45-TRAFO";"U$8";"dnc";"";"NO";"";"";"1849917";"";"";"";"";
"2";"TC7SU04F";"INVERTER_SOT23-5";"SOT23-5";"U3, U6";"Single inverter, SOT23-5";"";"";"";"RETIRED";"1105925";"";"8211";"TC7SU04F";"";
"1";"TVS-30V";"TVS";"SMA-DIODE";"TVS";"";"";"";"";"";"9802819RL";"";"";"";"";
"1";"allcs";"M01PTH";"1X01";"JP4";"Header 1";"";"NO";"";"";"";"";"";"";"";
"1";"atmega cs";"M01PTH";"1X01";"JP3";"Header 1";"";"NO";"";"";"";"";"";"";"";
"1";"regrck";"M01PTH";"1X01";"JP2";"Header 1";"";"NO";"";"";"";"";"";"";"";
